character,film,line,processed_lines,line_count,neg,neu,pos,compound
THREEPIO,EpisodeVI,He says that our instructions are to give it only to Jabba himself.,"['says', 'instructions', 'give', 'jabba']",90,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things.,"['terribly', 'sorry', 'afraid', 'stubborn', 'sort', 'things']",90,0.433,0.567,0.0,-0.8122
BIB,EpisodeVI,Nudd Chaa.,"['nudd', 'chaa']",6,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Artoo, I have a bad feeling about this.","['artoo', 'bad', 'feeling']",90,0.318,0.545,0.136,-0.4588
THREEPIO,EpisodeVI,Good morning.,"['good', 'morning']",90,0.0,0.256,0.744,0.4404
JABBA,EpisodeVI,Bo Shuda!,"['bo', 'shuda']",20,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"The message, Artoo, the message.","['message', 'artoo', 'message']",90,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life.  With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids.","['greetings', 'exalted', 'one', 'allow', 'introduce', 'luke', 'skywalker', 'jedi', 'knight', 'friend', 'captain', 'solo', 'know', 'powerful', 'mighty', 'jabba', 'anger', 'solo', 'must', 'equally', 'powerful', 'seek', 'audience', 'greatness', 'bargain', 'solos', 'life', 'wisdom', 'sure', 'work', 'arrangement', 'will', 'mutually', 'beneficial', 'enable', 'us', 'avoid', 'unpleasant', 'confrontation', 'token', 'goodwill', 'present', 'gift', 'two', 'droids']",112,0.1,0.663,0.237,0.926
THREEPIO,EpisodeVI,What did he say?,['say'],90,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,... Both are hardworking and will serve you well.,"['hardworking', 'will', 'serve']",112,0.0,0.792,0.208,0.2732
THREEPIO,EpisodeVI,"This can't be! Artoo, you're playing the wrong message.","['artoo', 'playing', 'wrong', 'message']",90,0.278,0.574,0.148,-0.3802
JABBA,EpisodeVI,There will be no bargain.,"['will', 'bargain']",20,0.285,0.715,0.0,-0.1511
THREEPIO,EpisodeVI,We're doomed.,['doomed'],90,0.808,0.192,0.0,-0.6369
JABBA,EpisodeVI,I will not give up my favorite decoration. I like Captain Solo where he is.,"['will', 'give', 'favorite', 'decoration', 'captain', 'solo']",20,0.0,0.703,0.297,0.6705
THREEPIO,EpisodeVI,"Artoo, look! Captain Solo. And he's still frozen in carbonite.","['artoo', 'look', 'captain', 'solo', 'still', 'frozen', 'carbonite']",90,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!,"['possibly', 'come', 'master', 'luke', 'something', 'never', 'expressed', 'unhappiness', 'work', 'oh', 'oh', 'hold', 'ohh']",90,0.0,0.864,0.136,0.6052
NINEDENINE,EpisodeVI,"Ah, good. New acquisitions. You are a protocol droid, are you not?","['ah', 'good', 'new', 'acquisitions', 'protocol', 'droid']",6,0.0,0.791,0.209,0.4404
THREEPIO,EpisodeVI,"I am See-Threepio, human-cy...","['seethreepio', 'humancy']",90,0.0,1.0,0.0,0.0
NINEDENINE,EpisodeVI,Yes or no will do.,"['yes', 'will']",6,0.278,0.38,0.342,0.128
THREEPIO,EpisodeVI,"Oh. Well, yes.","['oh', 'yes']",90,0.0,0.172,0.828,0.5859
NINEDENINE,EpisodeVI,How many languages do you speak?,"['many', 'languages', 'speak']",6,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"I am fluent in over six million forms of communication, and can readily...","['fluent', 'six', 'million', 'forms', 'communication', 'readily']",90,0.0,1.0,0.0,0.0
NINEDENINE,EpisodeVI,Splendid! We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him.,"['splendid', 'without', 'interpreter', 'master', 'got', 'angry', 'last', 'protocol', 'droid', 'disintegrated']",6,0.13,0.709,0.161,0.2003
THREEPIO,EpisodeVI,Disintegrated?,['disintegrated'],90,0.0,1.0,0.0,0.0
NINEDENINE,EpisodeVI,Guard! This protocol droid might be useful. Fit him with a restraining bolt and take him back to His Excellency's main audience chamber.,"['guard', 'protocol', 'droid', 'might', 'useful', 'fit', 'restraining', 'bolt', 'take', 'back', 'excellencys', 'main', 'audience', 'chamber']",6,0.0,0.787,0.213,0.69
THREEPIO,EpisodeVI,"Artoo, don't leave me! Ohhh!","['artoo', 'leave', 'ohhh']",90,0.0,0.698,0.302,0.1857
NINEDENINE,EpisodeVI,"You're a feisty little one, but you'll soon learn some respect. I have need for you on the master's Sail Barge. And I think you'll fit in nicely.","['feisty', 'little', 'one', 'soon', 'learn', 'respect', 'need', 'masters', 'sail', 'barge', 'think', 'fit', 'nicely']",6,0.0,0.69,0.31,0.9052
JABBA,EpisodeVI,Da Eitha!,"['da', 'eitha']",20,0.0,1.0,0.0,0.0
OOLA,EpisodeVI,Na Chuba negatorie Na! Na! Natoota...,"['na', 'chuba', 'negatorie', 'na', 'na', 'natoota']",1,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,Boscka!,['boscka'],20,0.0,1.0,0.0,0.0
BOUSHH,EpisodeVI,I have come for the bounty on this Wookiee.,"['come', 'bounty', 'wookiee']",7,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Oh, no! Chewbacca!","['oh', 'chewbacca']",90,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,At last we have the mighty Chewbacca.,"['last', 'mighty', 'chewbacca']",20,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!","['oh', 'uh', 'yes', 'uh', 'worshipfulness', 'uh', 'yes']",90,0.0,0.491,0.509,0.807
THREEPIO,EpisodeVI,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand.,"['oh', 'illustrious', 'jabba', 'bids', 'welcome', 'will', 'gladly', 'pay', 'reward', 'twenty', 'five', 'thousand']",90,0.057,0.571,0.371,0.8271
BOUSHH,EpisodeVI,I want fifty thousand. No less.,"['want', 'fifty', 'thousand', 'less']",7,0.293,0.533,0.173,-0.2263
THREEPIO,EpisodeVI,"Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand.","['uh', 'oh', 'say', 'uh', 'mighty', 'jabba', 'asks', 'must', 'pay', 'fifty', 'thousand']",90,0.082,0.918,0.0,-0.1531
THREEPIO,EpisodeVI,Because he's holding a thermal detonator.,"['holding', 'thermal', 'detonator']",90,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,This bounty hunter is my kind of scum. Fearless and inventive.,"['bounty', 'hunter', 'kind', 'scum', 'fearless', 'inventive']",20,0.0,0.775,0.225,0.4404
THREEPIO,EpisodeVI,Jabba offers the sum of thirty-five. And I suggest you take it.,"['jabba', 'offers', 'sum', 'thirtyfive', 'suggest', 'take']",90,0.0,1.0,0.0,0.0
BOUSHH,EpisodeVI,Zeebuss.,['zeebuss'],7,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,He agrees!,['agrees'],90,0.0,0.323,0.677,0.2714
BOUSHH,EpisodeVI,Just relax for a moment. You're free of the carbonite.,"['relax', 'moment', 'free', 'carbonite']",7,0.0,0.563,0.437,0.7351
BOUSHH,EpisodeVI,Shhh. You have hibernation sickness.,"['shhh', 'hibernation', 'sickness']",7,0.0,1.0,0.0,0.0
HAN,EpisodeVI,I can't see.,['see'],124,0.0,1.0,0.0,0.0
BOUSHH,EpisodeVI,You eyesight will return in time.,"['eyesight', 'will', 'return', 'time']",7,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Where am I?,[],124,0.0,1.0,0.0,0.0
BOUSHH,EpisodeVI,Jabba's palace.,"['jabbas', 'palace']",7,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Who are you?,[],124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,Someone who loves you.,"['someone', 'loves']",56,0.0,0.448,0.552,0.5719
HAN,EpisodeVI,Leia!,['leia'],124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,I gotta get you out of here.,"['got', 'ta']",56,0.0,1.0,0.0,0.0
HAN,EpisodeVI,What's that? I know that laugh.,"['know', 'laugh']",124,0.0,0.581,0.419,0.5574
HAN,EpisodeVI,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault.","['hey', 'jabba', 'look', 'jabba', 'way', 'pay', 'back', 'got', 'little', 'sidetracked', 'fault']",124,0.046,0.843,0.111,0.3993
JABBA,EpisodeVI,"It's too late for that, Solo. You may have been a good smuggler, but now you're Bantha fodder.","['late', 'solo', 'may', 'good', 'smuggler', 'now', 'bantha', 'fodder']",20,0.102,0.8,0.098,-0.0258
HAN,EpisodeVI,Look...,['look'],124,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,Take him away!,"['take', 'away']",20,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be a fool!,"['jabba', 'pay', 'triple', 'throwing', 'away', 'fortune', 'fool']",124,0.081,0.748,0.172,0.3798
JABBA,EpisodeVI,Bring her to me.,['bring'],20,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,We have powerful friends. You're gonna regret this...,"['powerful', 'friends', 'gon', 'na', 'regret']",56,0.204,0.365,0.431,0.4767
JABBA,EpisodeVI,I'm sure.,['sure'],20,0.0,0.303,0.697,0.3182
LEIA,EpisodeVI,Ugh!,['ugh'],56,1.0,0.0,0.0,-0.4753
THREEPIO,EpisodeVI,"Ohhh, I can't bear to watch.","['ohhh', 'bear', 'watch']",90,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Chewie? Chewie, is that you?","['chewie', 'chewie']",124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Ah! Chew--Chewie!,"['ah', 'chewchewie']",124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Wait. I can't see, pal. What's goin' on?","['wait', 'see', 'pal', 'goin']",124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Luke? Luke's crazy. He can't even take care of himself, much less rescue anybody.","['luke', 'lukes', 'crazy', 'even', 'take', 'care', 'much', 'less', 'rescue', 'anybody']",124,0.264,0.578,0.158,-0.2549
HAN,EpisodeVI,"A...Jedi Knight? I--I'm out of it for a little while, everybody gets delusions of grandeur.","['ajedi', 'knight', 'iim', 'little', 'everybody', 'gets', 'delusions', 'grandeur']",124,0.0,0.805,0.195,0.5267
HAN,EpisodeVI,"I'm all right, pal. I'm all right.","['right', 'pal', 'right']",124,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,I must speak with Jabba.,"['must', 'speak', 'jabba']",112,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,You will take me to Jabba now!,"['will', 'take', 'jabba', 'now']",112,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,You serve your master well.,"['serve', 'master']",112,0.0,0.656,0.344,0.2732
LUKE,EpisodeVI,And you will be rewarded.,"['will', 'rewarded']",112,0.0,0.556,0.444,0.4939
THREEPIO,EpisodeVI,At last! Master Luke's come to rescue me.,"['last', 'master', 'lukes', 'come', 'rescue']",90,0.0,0.661,0.339,0.5562
BIB,EpisodeVI,Master.,['master'],6,0.0,1.0,0.0,0.0
BIB,EpisodeVI,"...Luke Skywalker, Jedi Knight.","['luke', 'skywalker', 'jedi', 'knight']",6,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,I told you not to admit him.,"['told', 'admit']",20,0.21,0.79,0.0,-0.1511
LUKE,EpisodeVI,I must be allowed to speak.,"['must', 'allowed', 'speak']",112,0.0,1.0,0.0,0.0
BIB,EpisodeVI,He must be allowed to speak.,"['must', 'allowed', 'speak']",6,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,You weak-minded fool! He's using an old Jedi mind trick.,"['weakminded', 'fool', 'using', 'old', 'jedi', 'mind', 'trick']",20,0.354,0.646,0.0,-0.5255
LUKE,EpisodeVI,You will bring Captain Solo and the Wookiee to me.,"['will', 'bring', 'captain', 'solo', 'wookiee']",112,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,"Your mind powers will not work on me, boy.","['mind', 'powers', 'will', 'work', 'boy']",20,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"Nevertheless, I'm taking Captain Solo and his friends. You can either profit by this... or be destroyed! It's your choice. But I warn you not to underestimate my powers.","['nevertheless', 'taking', 'captain', 'solo', 'friends', 'either', 'profit', 'destroyed', 'choice', 'warn', 'underestimate', 'powers']",112,0.108,0.699,0.193,0.4449
THREEPIO,EpisodeVI,"Master Luke, you're standing on...","['master', 'luke', 'standing']",90,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,"There will be no bargain, young Jedi. I shall enjoy watching you die.","['will', 'bargain', 'young', 'jedi', 'enjoy', 'watching', 'die']",20,0.294,0.535,0.171,-0.3164
JABBA,EpisodeVI,Bascka!,['bascka'],20,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Oh, no! The Rancor!","['oh', 'rancor']",90,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,Bring me Solo and the Wookiee. They will all suffer for this outrage.,"['bring', 'solo', 'wookiee', 'will', 'suffer', 'outrage']",20,0.382,0.618,0.0,-0.7783
LUKE,EpisodeVI,Han!,['han'],112,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Luke!,['luke'],124,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,Are you all right?,['right'],112,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Fine. Together again, huh?","['fine', 'together', 'huh']",124,0.0,0.625,0.375,0.2023
LUKE,EpisodeVI,Wouldn't miss it.,['miss'],112,0.0,0.581,0.419,0.1139
HAN,EpisodeVI,How are we doing?,[],124,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,The same as always.,['always'],112,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"That bad, huh? Where's Leia?","['bad', 'huh', 'leia']",124,0.491,0.509,0.0,-0.594
LEIA,EpisodeVI,I'm here.,[],56,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately.","['oh', 'dear', 'high', 'exaltedness', 'great', 'jabba', 'hutt', 'decreed', 'terminated', 'immediately']",90,0.0,0.717,0.283,0.7717
HAN,EpisodeVI,"Good, I hate long waits.","['good', 'hate', 'long', 'waits']",124,0.385,0.312,0.302,-0.2023
THREEPIO,EpisodeVI,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc.","['will', 'therefore', 'taken', 'dune', 'sea', 'cast', 'pit', 'carkoon', 'nesting', 'place', 'allpowerful', 'sarlacc']",90,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Doesn't sound so bad.,"['sound', 'bad']",124,0.6,0.4,0.0,-0.6696
THREEPIO,EpisodeVI,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years.","['belly', 'will', 'find', 'new', 'definition', 'pain', 'suffering', 'slowly', 'digested', 'thousand', 'years']",90,0.242,0.758,0.0,-0.7506
HAN,EpisodeVI,"On second thought, let's pass on that, huh?","['second', 'thought', 'pass', 'huh']",124,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"You should have bargained, Jabba. That's the last mistake you'll ever make.","['bargained', 'jabba', 'last', 'mistake', 'make']",112,0.179,0.821,0.0,-0.34
HAN,EpisodeVI,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur.","['think', 'eyes', 'getting', 'better', 'instead', 'big', 'dark', 'blur', 'see', 'big', 'light', 'blur']",124,0.0,0.861,0.139,0.4404
LUKE,EpisodeVI,"There's nothing to see. I used to live here, you know.","['nothing', 'see', 'used', 'live', 'know']",112,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"You're gonna die here, you know. Convenient.","['gon', 'na', 'die', 'know', 'convenient']",124,0.394,0.606,0.0,-0.5994
LUKE,EpisodeVI,Just stick close to Chewie and Lando. I've taken care of everything.,"['stick', 'close', 'chewie', 'lando', 'taken', 'care', 'everything']",112,0.0,0.775,0.225,0.4939
HAN,EpisodeVI,Oh... great!,"['oh', 'great']",124,0.0,0.185,0.815,0.6588
JABBA,EpisodeVI,Soon you will learn to appreciate me.,"['soon', 'will', 'learn', 'appreciate']",20,0.0,0.69,0.31,0.4019
THREEPIO,EpisodeVI,"Oh, I'm terribly sor... Artoo! What are you doing here?","['oh', 'terribly', 'sor', 'artoo']",90,0.302,0.698,0.0,-0.5983
THREEPIO,EpisodeVI,"Well, I can see you're serving drinks, but this place is dangerous. They're going to execute Master Luke and, if we're not careful, us too!","['see', 'serving', 'drinks', 'place', 'dangerous', 'going', 'execute', 'master', 'luke', 'careful', 'us']",90,0.206,0.742,0.052,-0.6765
THREEPIO,EpisodeVI,Hmm.  I wish I had your confidence.,"['hmm', 'wish', 'confidence']",90,0.0,0.455,0.545,0.7184
THREEPIO,EpisodeVI,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas.","['victims', 'almighty', 'sarlacc', 'excellency', 'hopes', 'will', 'die', 'honorably', 'wish', 'beg', 'mercy', 'great', 'jabba', 'hutt', 'will', 'now', 'listen', 'pleas']",90,0.084,0.532,0.384,0.9403
HAN,EpisodeVI,"Threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. Right?","['threepio', 'tell', 'slimy', 'piece', 'wormridden', 'filth', 'pleasure', 'us', 'right']",124,0.257,0.743,0.0,-0.6367
LUKE,EpisodeVI,Jabba! This is your last chance. Free us or die.,"['jabba', 'last', 'chance', 'free', 'us', 'die']",112,0.236,0.424,0.339,0.1759
JABBA,EpisodeVI,Move him into position.,"['move', 'position']",20,0.0,1.0,0.0,0.0
JABBA,EpisodeVI,Put him in.,['put'],20,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"Easy, Chewie.","['easy', 'chewie']",112,0.0,0.256,0.744,0.4404
LANDO,EpisodeVI,Whoa! Whoa! Help!,"['whoa', 'whoa', 'help']",40,0.0,0.359,0.641,0.5538
HAN,EpisodeVI,"Chewie, you okay? Where is he?","['chewie', 'okay']",124,0.0,0.689,0.311,0.3094
HAN,EpisodeVI,"I'm okay, pal.","['okay', 'pal']",124,0.0,0.513,0.487,0.2263
LANDO,EpisodeVI,Han! Chewie?,"['han', 'chewie']",40,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Lando!,['lando'],124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Boba Fett?! Boba Fett?! Where?,"['boba', 'fett', 'boba', 'fett']",124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Lando, grab it!","['lando', 'grab']",124,0.0,1.0,0.0,0.0
LANDO,EpisodeVI,Lower it!,['lower'],40,0.714,0.286,0.0,-0.3595
HAN,EpisodeVI,I'm trying!,['trying'],124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Whoa! Whoa! Grab me, Chewie! I'm slipping.","['whoa', 'whoa', 'grab', 'chewie', 'slipping']",124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Grab it! L--Lando. Grab!,"['grab', 'llando', 'grab']",124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Grab it! Almost... You almost got it!,"['grab', 'almost', 'almost', 'got']",124,0.0,1.0,0.0,0.0
LANDO,EpisodeVI,Hold it! Whoa!,"['hold', 'whoa']",40,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Gently now. All... all right. Now easy, easy. Hold me, Chewie.","['gently', 'now', 'right', 'now', 'easy', 'easy', 'hold', 'chewie']",124,0.0,0.476,0.524,0.8316
HAN,EpisodeVI,"Chewie! Chewie, give me the gun. Don't move, Lando.","['chewie', 'chewie', 'give', 'gun', 'move', 'lando']",124,0.252,0.748,0.0,-0.4003
LANDO,EpisodeVI,"No, wait! I thought you were blind!","['wait', 'thought', 'blind']",40,0.354,0.646,0.0,-0.508
HAN,EpisodeVI,It's all right. Trust me. Don't move.,"['right', 'trust', 'move']",124,0.0,0.645,0.355,0.5106
LANDO,EpisodeVI,All right! A little higher! Just a little higher!,"['right', 'little', 'higher', 'little', 'higher']",40,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Chewie, Pull us up! Come on! Okay... up, Chewie, up!","['chewie', 'pull', 'us', 'come', 'okay', 'chewie']",124,0.0,0.764,0.236,0.4168
LEIA,EpisodeVI,Come on. We gotta get out of here quick.,"['come', 'got', 'ta', 'quick']",56,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!","['eyes', 'artoo', 'help', 'quickly', 'artoo', 'oh', 'ohhh', 'beast']",90,0.0,0.721,0.279,0.5951
LUKE,EpisodeVI,Get the gun! Point it at the deck!,"['gun', 'point', 'deck']",112,0.299,0.701,0.0,-0.4559
LUKE,EpisodeVI,Point it at the deck!,"['point', 'deck']",112,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Artoo, where are we going? I couldn't possibly jump.","['artoo', 'going', 'possibly', 'jump']",90,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,Come on!,['come'],112,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,Let's go! And don't forget the droids.,"['go', 'forget', 'droids']",112,0.0,0.754,0.246,0.2401
LANDO,EpisodeVI,We're on our way.,['way'],40,0.0,1.0,0.0,0.0
HAN,EpisodeVI,I don't know. All I can see is a lot of blowing sand!,"['know', 'see', 'lot', 'blowing', 'sand']",124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,That's all any of us can see.,"['us', 'see']",56,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Then I guess I'm getting better.,"['guess', 'getting', 'better']",124,0.0,0.633,0.367,0.4404
HAN,EpisodeVI,"I've got to hand it to you, kid, you were pretty good out there.","['got', 'hand', 'kid', 'pretty', 'good']",124,0.0,0.542,0.458,0.8519
LUKE,EpisodeVI,I had a lot of help. Think nothing of it.,"['lot', 'help', 'think', 'nothing']",112,0.0,0.769,0.231,0.4019
HAN,EpisodeVI,"No, I'm thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn't just sleepin'. It was a big wide awake nothing!","['thinking', 'lot', 'carbon', 'freeze', 'closest', 'thing', 'dead', 'sleepin', 'big', 'wide', 'awake', 'nothing']",124,0.136,0.829,0.036,-0.6588
LUKE,EpisodeVI,I'll see you back at the fleet.,"['see', 'back', 'fleet']",112,0.0,1.0,0.0,0.0
